time mi_pulso
5.600000000000e-09 -2.507340587022e-02
5.615384615385e-09 -3.881566838493e-02
5.630769230769e-09 -3.947095865010e-02
5.646153846154e-09 -2.750971883071e-02
5.661538461538e-09 -7.375756967139e-03
5.676923076923e-09 1.411852541124e-02
5.692307692308e-09 3.006444071235e-02
5.707692307692e-09 3.564932239151e-02
5.723076923077e-09 2.958185188148e-02
5.738461538462e-09 1.433671247633e-02
5.753846153846e-09 -4.804315120080e-03
5.769230769231e-09 -2.155720805852e-02
5.784615384615e-09 -3.067780431494e-02
5.800000000000e-09 -2.958414680384e-02
5.815384615385e-09 -1.906313342268e-02
5.830769230769e-09 -2.876425766183e-03
5.846153846154e-09 1.356302250057e-02
5.861538461538e-09 2.498494760688e-02
5.876923076923e-09 2.793688404749e-02
5.892307692308e-09 2.181251940012e-02
5.907692307692e-09 8.931889087888e-03
5.923076923077e-09 -6.314747487808e-03
5.938461538462e-09 -1.895016258411e-02
5.953846153846e-09 -2.502366581891e-02
5.969230769231e-09 -2.283539634100e-02
5.984615384615e-09 -1.339547814979e-02
6.000000000000e-09 -2.057386279136e-16
6.015384615385e-09 1.290821400042e-02
6.030769230769e-09 2.120400782114e-02
6.046153846154e-09 2.238972909334e-02
6.061538461538e-09 1.633728433036e-02
6.076923076923e-09 5.245246110461e-03
6.092307692308e-09 -7.147652644902e-03
6.107692307692e-09 -1.681499407876e-02
6.123076923077e-09 -2.074403804599e-02
6.138461538462e-09 -1.786754597935e-02
6.153846153846e-09 -9.340144882038e-03
6.169230769231e-09 1.907186548196e-03
6.184615384615e-09 1.216751371430e-02
6.200000000000e-09 1.817402319741e-02
6.215384615385e-09 1.813467089651e-02
6.230769230769e-09 1.225947570460e-02
6.246153846154e-09 2.627827348425e-03
6.261538461538e-09 -7.540217636164e-03
6.276923076923e-09 -1.495554565869e-02
6.292307692308e-09 -1.731947074344e-02
6.307692307692e-09 -1.403125276771e-02
6.323076923077e-09 -6.327546954492e-03
6.338461538462e-09 3.173121386529e-03
6.353846153846e-09 1.135584807211e-02
6.369230769231e-09 1.562683199908e-02
6.384615384615e-09 1.473170898822e-02
6.400000000000e-09 9.117813068026e-03
6.415384615385e-09 7.379129020582e-04
6.430769230769e-09 -7.624359391913e-03
6.446153846154e-09 -1.327583961350e-02
6.461538461538e-09 -1.447805871920e-02
6.476923076923e-09 -1.097805561845e-02
6.492307692308e-09 -4.045033582163e-03
6.507692307692e-09 3.984086469707e-03
6.523076923077e-09 1.048924516021e-02
6.538461538462e-09 1.341955570754e-02
6.553846153846e-09 1.193695271241e-02
6.569230769231e-09 6.650143998582e-03
6.584615384615e-09 -6.243374725455e-04
6.600000000000e-09 -7.483070356554e-03
6.615384615385e-09 -1.172743918133e-02
6.630769230769e-09 -1.206606876301e-02
6.646153846154e-09 -8.504345513245e-03
6.661538461538e-09 -2.304697482206e-03
6.676923076923e-09 4.457031808037e-03
6.692307692308e-09 9.584398005106e-03
6.707692307692e-09 1.147185513365e-02
6.723076923077e-09 9.605107203082e-03
6.738461538462e-09 4.695184287158e-03
6.753846153846e-09 -1.586353147693e-03
6.769230769231e-09 -7.174179613404e-03
6.784615384615e-09 -1.028650496100e-02
6.800000000000e-09 -9.991369231470e-03
6.815384615385e-09 -6.482565164642e-03
6.830769230769e-09 -9.846049561821e-04
6.846153846154e-09 4.671928656633e-03
6.861538461538e-09 8.658215659929e-03
6.876923076923e-09 9.736928482648e-03
6.892307692308e-09 7.644198073557e-03
6.907692307692e-09 3.146614241607e-03
6.923076923077e-09 -2.235764177474e-03
6.938461538462e-09 -6.741430292076e-03
6.953846153846e-09 -8.942558109682e-03
6.969230769231e-09 -8.195905082108e-03
6.984615384615e-09 -4.827618106998e-03
7.000000000000e-09 2.212061417997e-16
7.015384615385e-09 4.687605775913e-03
7.030769230769e-09 7.727375918621e-03
7.046153846154e-09 8.186747284940e-03
7.061538461538e-09 5.992561136114e-03
7.076923076923e-09 1.929711202009e-03
7.092307692308e-09 -2.636996674086e-03
7.107692307692e-09 -6.219999942277e-03
7.123076923077e-09 -7.692441031759e-03
7.138461538462e-09 -6.641168068763e-03
7.153846153846e-09 -3.479165020958e-03
7.169230769231e-09 7.118544707125e-04
7.184615384615e-09 4.550014881124e-03
7.200000000000e-09 6.807893302780e-03
7.215384615385e-09 6.803950960053e-03
7.230769230769e-09 4.606315575333e-03
7.246153846154e-09 9.886683384803e-04
7.261538461538e-09 -2.840223994425e-03
7.276923076923e-09 -5.639361362710e-03
7.292307692308e-09 -6.536817258469e-03
7.307692307692e-09 -5.300030659785e-03
7.323076923077e-09 -2.391743648498e-03
7.338461538462e-09 1.200083033825e-03
7.353846153846e-09 4.296733879289e-03
7.369230769231e-09 5.914715339724e-03
7.384615384615e-09 5.577127814859e-03
7.400000000000e-09 3.452184520597e-03
7.415384615385e-09 2.793870479957e-04
7.430769230769e-09 -2.886390206612e-03
7.446153846154e-09 -5.024785198567e-03
7.461538461538e-09 -5.478019347373e-03
7.476923076923e-09 -4.151937870797e-03
7.492307692308e-09 -1.529025545008e-03
7.507692307692e-09 1.505026177395e-03
7.523076923077e-09 3.959480327552e-03
7.538461538462e-09 5.061359101187e-03
7.553846153846e-09 4.497947292173e-03
7.569230769231e-09 2.503231455653e-03
7.584615384615e-09 -2.347447983833e-04
7.600000000000e-09 -2.810094312966e-03
7.615384615385e-09 -4.398118461108e-03
7.630769230769e-09 -4.518670183024e-03
7.646153846154e-09 -3.179988543462e-03
7.661538461538e-09 -8.603938949884e-04
7.676923076923e-09 1.661066359153e-03
7.692307692308e-09 3.565523027061e-03
7.707692307692e-09 4.259598538582e-03
7.723076923077e-09 3.559372379130e-03
7.738461538462e-09 1.736279909300e-03
7.753846153846e-09 -5.853594557680e-04
7.769230769231e-09 -2.641256139122e-03
7.784615384615e-09 -3.778170134824e-03
7.800000000000e-09 -3.660782984014e-03
7.815384615385e-09 -2.369141928443e-03
7.830769230769e-09 -3.588899557740e-04
7.846153846154e-09 1.698284443606e-03
7.861538461538e-09 3.138465450667e-03
7.876923076923e-09 3.519211384080e-03
7.892307692308e-09 2.754541487809e-03
7.907692307692e-09 1.130353721264e-03
7.923076923077e-09 -8.005890674271e-04
7.938461538462e-09 -2.406066678871e-03
7.953846153846e-09 -3.180887375942e-03
7.969230769231e-09 -2.905180398254e-03
7.984615384615e-09 -1.705129143077e-03
8.000000000000e-09 7.335522837742e-17
8.015384615385e-09 1.643411605096e-03
8.030769230769e-09 2.698667957417e-03
8.046153846154e-09 2.847792349233e-03
8.061538461538e-09 2.076089000514e-03
8.076923076923e-09 6.657620644909e-04
8.092307692308e-09 -9.059116170911e-04
8.107692307692e-09 -2.127512023527e-03
8.123076923077e-09 -2.619429144447e-03
8.138461538462e-09 -2.251141375150e-03
8.153846153846e-09 -1.173825786367e-03
8.169230769231e-09 2.390254487727e-04
8.184615384615e-09 1.520349742014e-03
8.200000000000e-09 2.263466563971e-03
8.215384615385e-09 2.250637115667e-03
8.230769230769e-09 1.515767656780e-03
8.246153846154e-09 3.236050292113e-04
8.261538461538e-09 -9.245987103167e-04
8.276923076923e-09 -1.825645004891e-03
8.292307692308e-09 -2.104201843303e-03
8.307692307692e-09 -1.696220223915e-03
8.323076923077e-09 -7.609368997210e-04
8.338461538462e-09 3.795089257885e-04
8.353846153846e-09 1.350428179310e-03
8.369230769231e-09 1.847285272764e-03
8.384615384615e-09 1.730699252964e-03
8.400000000000e-09 1.064286909605e-03
8.415384615385e-09 8.555915761955e-05
8.430769230769e-09 -8.779130846789e-04
8.446153846154e-09 -1.517713719281e-03
8.461538461538e-09 -1.642896784538e-03
8.476923076923e-09 -1.236201327682e-03
8.492307692308e-09 -4.518983752217e-04
8.507692307692e-09 4.414611742840e-04
8.523076923077e-09 1.152504067885e-03
8.538461538462e-09 1.461703343267e-03
8.553846153846e-09 1.288619798286e-03
8.569230769231e-09 7.113098374604e-04
8.584615384615e-09 -6.614980976128e-05
8.600000000000e-09 -7.851527133078e-04
8.615384615385e-09 -1.218217620219e-03
8.630769230769e-09 -1.240553880070e-03
8.646153846154e-09 -8.651632179800e-04
8.661538461538e-09 -2.319294300265e-04
8.676923076923e-09 4.435556457301e-04
8.692307692308e-09 9.429776810329e-04
8.707692307692e-09 1.115516895658e-03
8.723076923077e-09 9.228268723797e-04
8.738461538462e-09 4.455675097551e-04
8.753846153846e-09 -1.486512490907e-04
8.769230769231e-09 -6.636073759067e-04
8.784615384615e-09 -9.389379342536e-04
